Edital;Coordenador;Genre;local;Valor da proposta;Categoria;Estado;Regiões;Status;Nome do Instituto
58/2022;Paulo Sergio Boggio;M;Universidade Presbiteriana Mackenzie;NA;NA;SP;Sudeste;Aprovado;NA
58/2022;Pedro Fernando da Costa Vasconcelos;M;Universidade do Estado do Pará;NA;NA;PA;Norte;Aprovado;NA
58/2022;Philip Martin Fearnside;M;Instituto Nacional de Pesquisas da Amazônia;NA;NA;AM;Norte;Aprovado;NA
58/2022;Rafael Roesler;M;Universidade Federal do Rio Grande do Sul;NA;NA;RS;Sul;Aprovado;NA
58/2022;Renato de Almeida Sarmento;M;Universidade Federal do Tocantins;NA;NA;TO;Norte;Aprovado;NA
58/2022;Robson Augusto Souza dos Santos;M;Universidade Federal de Minas Gerais;NA;NA;MG;Sudeste;Aprovado;NA
58/2022;Rodinei Augusti;M;Universidade Federal de Minas Gerais;NA;NA;MG;Sudeste;Aprovado;NA
58/2022;Ronaldo Lopes Oliveira;M;Universidade Federal da Bahia;NA;NA;BA;Nordeste;Aprovado;NA
58/2022;Rosires Deliza;F;Centro Nacional de Pesquisa de Tecnologia Agroindustrial de Alimentos;NA;NA;RJ;Sudeste;Aprovado;NA
58/2022;Ruy Carlos Ruver Beck;M;Universidade Federal do Rio Grande do Sul;NA;NA;RS;Sul;Aprovado;NA
58/2022;Sang Won Han;M;Universidade Federal de São Paulo;NA;NA;SP;Sudeste;Aprovado;NA
58/2022;Sara Teresinha Olalla Saad;F;Universidade Estadual de Campinas;NA;NA;SP;Sudeste;Aprovado;NA
58/2022;Sarita Albagli;F;Instituto Brasileiro de Informação em Ciência e Tecnologia;NA;NA;DF;Centro-Oeste;Aprovado;NA
58/2022;Suzana Maria Gico Lima Montenegro;F;Universidade Federal de Pernambuco;NA;NA;PE;Nordeste;Aprovado;NA
58/2022;Teresa Bernarda Ludermir;F;Universidade Federal de Pernambuco;NA;NA;PE;Nordeste;Aprovado;NA
58/2022;Thereza Maria Magalhaes Moreira;F;Universidade Estadual do Ceará;NA;NA;CE;Nordeste;Aprovado;NA
58/2022;Valder Steffen Junior;M;Universidade Federal de Uberlândia;NA;NA;MG;Sudeste;Aprovado;NA
58/2022;Valderez Pinto Ferreira;M;Universidade Federal de Pernambuco;NA;NA;PE;Nordeste;Aprovado;NA
58/2022;Vania Aparecida Vicente;F;Universidade Federal do Paraná;NA;NA;PR;Sul;Aprovado;NA
58/2022;Viviane de Melo Resende;F;Universidade de Brasília;NA;NA;DF;Centro-Oeste;Aprovado;NA
58/2022;William Ernest Magnusson;M;Instituto Nacional de Pesquisas da Amazônia;NA;NA;AM;Norte;Aprovado;NA
