taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2053453	Trimedia viridata (Stål, 1862)	2053453	Trimedia viridata (Stål, 1862)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Dictyopharidae	8499	Trimedia	2053452	Trimedia viridata	2053453	NE
2342790	Corydoras ehrhardti Steindachner, 1910	2342790	Corydoras ehrhardti Steindachner, 1910	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Siluriformes	708	Callichthyidae	8975	Corydoras	2342597	Corydoras ehrhardti	2342790	LC
2349383	Rivulus amanan Costa & Lazzarotto, 2008	7193318	Anablepsoides amanan (Costa & Lazzarotto, 2008)	2	SPECIES	SYNONYM	Animalia	1	Chordata	44			Cyprinodontiformes	547	Rivulidae	3696	Anablepsoides	4839887	Anablepsoides amanan	7193318	LC
2354287	Ctenobrycon spilurus (Valenciennes, 1850)	2354287	Ctenobrycon spilurus (Valenciennes, 1850)	142	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Characiformes	537	Characidae	7201	Ctenobrycon	2354286	Ctenobrycon spilurus	2354287	NE
2354370	Hemigrammus skolioplatus Bertaco & Carvalho, 2005	2354370	Hemigrammus skolioplatus Bertaco & Carvalho, 2005	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Characiformes	537	Characidae	7201	Hemigrammus	2354324	Hemigrammus skolioplatus	2354370	DD
2354663	Hyphessobrycon eilyos Lima & Moreira, 2003	2354663	Hyphessobrycon eilyos Lima & Moreira, 2003	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Characiformes	537	Characidae	7201	Hyphessobrycon	2354506	Hyphessobrycon eilyos	2354663	NT
2402020	Rhabdolichops troscheli (Kaup, 1856)	2402020	Rhabdolichops troscheli (Kaup, 1856)	86	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Gymnotiformes	1165	Sternopygidae	7672	Rhabdolichops	2402015	Rhabdolichops troscheli	2402020	NE
2475469	Ceryle torquata (Linnaeus, 1766)	2475466	Megaceryle torquata (Linnaeus, 1766)	14	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Coraciiformes	1447	Alcedinidae	2984	Megaceryle	2475462	Megaceryle torquata	2475466	LC
2478345	Veniliornis passerinus (Linnaeus, 1766)	2478345	Veniliornis passerinus (Linnaeus, 1766)	90	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Veniliornis	2478338	Veniliornis passerinus	2478345	LC
2480518	Buteo magnirostris (Gmelin, 1788)	5844398	Rupornis magnirostris (Gmelin, 1788)	47	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Rupornis	4850093	Rupornis magnirostris	5844398	LC
